user_id,session_id,pageview_id,session_duration,event_type,event_time
user_7,session_820,page_4361,206,purchase,2025-03-09T14:06:26.123990
user_63,session_262,page_3234,201,page_view,2025-03-09T04:02:26.123993
user_6,session_662,page_1002,267,video_play,2025-03-09T12:12:26.123995
user_83,session_468,page_4906,251,form_submit,2025-03-09T06:52:26.123997
user_26,session_158,page_3918,509,purchase,2025-03-09T17:24:26.123999
user_25,session_696,page_3067,462,page_view,2025-03-09T09:45:26.124001
user_53,session_399,page_2156,210,ad_click,2025-03-09T02:07:26.124003
user_81,session_31,page_4342,60,ad_click,2025-03-09T19:10:26.124005
user_69,session_283,page_2103,125,form_submit,2025-03-09T13:52:26.124007
user_79,session_573,page_4662,181,purchase,2025-03-09T05:09:26.124009
user_52,session_208,page_4177,72,form_submit,2025-03-09T18:27:26.124011
user_63,session_861,page_3028,550,video_play,2025-03-09T11:30:26.124013
user_13,session_784,page_4712,587,purchase,2025-03-09T20:42:26.124015
user_33,session_763,page_3528,323,purchase,2025-03-09T01:47:26.124017
user_82,session_912,page_2781,311,video_play,2025-03-09T23:56:26.124019
user_45,session_943,page_622,198,ad_click,2025-03-09T23:41:26.124021
user_77,session_175,page_4691,224,ad_click,2025-03-09T23:21:26.124023
user_93,session_158,page_2262,478,ad_click,2025-03-09T00:58:26.124025
user_43,session_360,page_1731,502,purchase,2025-03-09T02:51:26.124027
user_69,session_262,page_1303,462,ad_click,2025-03-09T06:36:26.124029
user_92,session_620,page_378,535,purchase,2025-03-09T00:48:26.124031
user_63,session_563,page_3132,217,ad_click,2025-03-09T22:04:26.124033
user_13,session_423,page_3349,66,video_play,2025-03-09T15:16:26.124035
user_5,session_447,page_2663,294,video_play,2025-03-09T22:23:26.124036
user_30,session_657,page_4969,265,purchase,2025-03-09T14:22:26.124038
user_6,session_649,page_4634,595,video_play,2025-03-09T06:10:26.124040
user_29,session_971,page_2675,111,video_play,2025-03-09T21:22:26.124042
user_53,session_144,page_1657,261,form_submit,2025-03-09T12:22:26.124044
user_87,session_470,page_1821,194,form_submit,2025-03-09T08:41:26.124046
user_15,session_366,page_2210,526,purchase,2025-03-10T00:02:26.124048
user_35,session_709,page_311,336,video_play,2025-03-09T06:29:26.124050
user_84,session_366,page_2260,280,video_play,2025-03-09T03:32:26.124052
user_14,session_866,page_4110,596,purchase,2025-03-09T03:34:26.124054
user_44,session_913,page_4326,225,ad_click,2025-03-09T22:07:26.124056
user_59,session_876,page_2030,20,form_submit,2025-03-09T12:32:26.124058
user_85,session_34,page_1099,61,ad_click,2025-03-09T22:19:26.124059
user_36,session_632,page_1286,158,ad_click,2025-03-09T19:08:26.124061
user_46,session_751,page_4460,33,form_submit,2025-03-09T09:46:26.124063
user_26,session_689,page_4425,576,form_submit,2025-03-09T09:34:26.124065
user_34,session_598,page_1749,340,purchase,2025-03-09T03:08:26.124067
user_18,session_780,page_4580,189,purchase,2025-03-09T21:57:26.124069
user_3,session_765,page_4897,343,video_play,2025-03-09T01:18:26.124071
user_65,session_121,page_2667,472,page_view,2025-03-09T13:56:26.124073
user_46,session_549,page_4078,413,form_submit,2025-03-09T11:08:26.124075
user_39,session_489,page_1549,482,ad_click,2025-03-09T19:40:26.124077
user_22,session_394,page_1495,300,page_view,2025-03-09T04:08:26.124079
user_78,session_897,page_363,145,ad_click,2025-03-09T03:12:26.124080
user_6,session_263,page_3371,311,purchase,2025-03-09T02:17:26.124082
user_12,session_434,page_4448,155,purchase,2025-03-09T08:42:26.124084
user_15,session_589,page_279,475,purchase,2025-03-09T13:23:26.124086
user_85,session_947,page_4985,449,video_play,2025-03-09T13:07:26.124088
user_42,session_498,page_687,580,page_view,2025-03-09T01:48:26.124090
user_28,session_197,page_95,123,form_submit,2025-03-09T07:54:26.124092
user_47,session_82,page_3611,288,page_view,2025-03-10T00:34:26.124094
user_76,session_174,page_3145,390,ad_click,2025-03-09T18:51:26.124096
user_80,session_599,page_869,249,purchase,2025-03-09T08:21:26.124098
user_74,session_854,page_1528,293,video_play,2025-03-09T14:18:26.124100
user_36,session_311,page_1727,359,page_view,2025-03-09T10:57:26.124101
user_39,session_557,page_1377,204,video_play,2025-03-09T20:11:26.124103
user_25,session_780,page_3978,547,video_play,2025-03-09T22:40:26.124105
user_51,session_934,page_3402,570,page_view,2025-03-09T15:52:26.124107
user_68,session_256,page_179,524,purchase,2025-03-09T04:44:26.124109
user_25,session_915,page_4555,23,video_play,2025-03-09T08:15:26.124111
user_35,session_468,page_1976,549,purchase,2025-03-09T23:58:26.124113
user_36,session_195,page_193,512,purchase,2025-03-09T18:00:26.124115
user_15,session_234,page_2740,19,page_view,2025-03-09T23:57:26.124117
user_28,session_579,page_1975,215,purchase,2025-03-09T13:24:26.124118
user_92,session_406,page_4747,158,video_play,2025-03-09T21:26:26.124120
user_7,session_671,page_3960,356,ad_click,2025-03-09T05:27:26.124122
user_55,session_381,page_4532,215,form_submit,2025-03-09T07:54:26.124124
user_88,session_573,page_3715,475,ad_click,2025-03-09T16:25:26.124125
user_57,session_650,page_4207,473,video_play,2025-03-09T11:40:26.124127
user_65,session_252,page_2385,41,form_submit,2025-03-09T19:00:26.124129
user_2,session_942,page_415,250,form_submit,2025-03-09T01:39:26.124130
user_50,session_41,page_1256,168,purchase,2025-03-09T20:19:26.124132
user_37,session_15,page_1174,573,page_view,2025-03-09T19:00:26.124134
user_87,session_503,page_3508,273,ad_click,2025-03-09T23:14:26.124136
user_11,session_990,page_4558,285,purchase,2025-03-09T04:38:26.124137
user_11,session_309,page_1644,215,purchase,2025-03-09T13:58:26.124139
user_31,session_109,page_4082,506,page_view,2025-03-09T15:36:26.124141
user_66,session_919,page_4876,569,form_submit,2025-03-09T13:51:26.124143
user_14,session_645,page_2438,392,page_view,2025-03-09T05:34:26.124144
user_55,session_924,page_2102,224,ad_click,2025-03-09T04:58:26.124146
user_36,session_780,page_1470,96,video_play,2025-03-09T22:09:26.124148
user_81,session_212,page_1619,451,video_play,2025-03-09T09:56:26.124149
user_42,session_694,page_872,181,purchase,2025-03-09T18:45:26.124151
user_28,session_358,page_3819,376,form_submit,2025-03-09T23:43:26.124153
user_64,session_453,page_4598,598,purchase,2025-03-09T10:32:26.124155
user_22,session_477,page_4219,597,page_view,2025-03-09T13:58:26.124156
user_9,session_244,page_1976,288,video_play,2025-03-09T19:12:26.124158
user_60,session_890,page_451,309,page_view,2025-03-09T10:56:26.124160
user_32,session_242,page_4699,585,purchase,2025-03-09T16:40:26.124161
user_60,session_680,page_2811,182,page_view,2025-03-09T05:29:26.124163
user_83,session_417,page_4315,596,video_play,2025-03-09T10:19:26.124165
user_83,session_801,page_1292,230,page_view,2025-03-10T00:08:26.124167
user_34,session_763,page_117,97,video_play,2025-03-09T03:20:26.124169
user_4,session_258,page_94,534,purchase,2025-03-09T20:58:26.124170
user_68,session_359,page_2821,409,ad_click,2025-03-09T03:05:26.124172
user_40,session_656,page_1572,554,page_view,2025-03-09T21:50:26.124174
user_87,session_205,page_1635,241,video_play,2025-03-09T04:43:26.124176
